,meansOfTransport,distance,duration,delay,trafficViolation,startLocation_Beijing,startLocation_Shijiazhuang,startLocation_Taiyuan,startLocation_Tianjin,endLocation_Beijing,endLocation_Shijiazhuang,endLocation_Taiyuan,endLocation_Tianjin,timespan_2,timespan_3,timespan_4,timespan_5,cost
304,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
305,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,0,1,0,14991
306,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
307,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,1,0,16431
308,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
309,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,1,0,0,0,58787
310,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28737
311,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21051
312,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
313,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21051
314,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31077
315,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,1,0,0,0,22851
316,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13911
317,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,0,1,52399
318,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,1,0,0,44479
319,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14991
320,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
321,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,1,0,0,48079
322,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,0,1,0,14991
323,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30019
324,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,0,1,35419
325,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58787
326,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,1,0,0,49787
327,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24831
328,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,1,0,0,0,33777
329,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14991
330,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,1,0,0,0,44479
331,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,0,1,33777
332,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,0,1,49787
333,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,1,0,0,0,48079
334,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,1,0,0,24831
335,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
336,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
337,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,1,0,0,30019
338,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,1,0,0,49787
339,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
340,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21051
341,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,0,1,35419
342,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,1,0,0,0,49787
343,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
344,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22851
345,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
346,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
347,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,1,0,0,0,33777
348,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,1,0,0,0,53927
349,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
350,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13911
351,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,1,0,0,0,22851
352,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,1,0,0,16431
353,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,1,0,0,24831
354,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
355,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
356,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,1,0,0,32539
357,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,1,0,0,44479
358,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
359,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24831
360,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28737
361,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,1,0,0,24831
362,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21051
363,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,0,1,30019
364,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
365,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,53927
366,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,1,0,0,30019
367,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,1,0,0,44479
368,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
369,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49787
370,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
371,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
372,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,1,0,0,30019
373,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,0,1,48079
374,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,0,1,58787
375,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,0,1,52399
376,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
377,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,1,0,49787
378,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
379,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,1,0,0,0,58787
380,1,115.9264829993114,90,0,0,0,0,0,1,1,0,0,0,1,0,0,0,16431
381,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
382,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
383,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14991
384,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13911
385,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,1,0,0,35419
386,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,1,0,0,0,49787
387,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
388,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,1,0,58787
389,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52399
390,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,0,1,0,44479
391,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28737
392,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14991
393,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,1,0,30019
394,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,1,0,13911
395,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13911
396,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,1,0,0,0,52399
397,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
398,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13911
399,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,0,1,58787
400,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,1,0,0,0,13911
401,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,1,0,48079
402,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35419
403,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16431
404,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,1,0,0,32539
405,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,1,0,0,22851
406,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,1,0,0,0,32539
407,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,1,0,0,31077
408,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
409,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31077
410,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28737
411,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,0,1,33777
412,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21051
413,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,1,0,14991
414,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,1,0,53927
415,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,1,0,0,16431
416,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16431
417,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,1,0,0,32539
418,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,0,1,58787
419,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
420,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,1,0,0,49787
421,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31077
422,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14991
423,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24831
424,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,1,0,52399
425,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
426,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24831
427,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21051
428,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
429,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14991
430,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28737
431,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,1,0,0,53927
432,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
433,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,1,0,0,21051
434,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
435,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24831
436,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,1,0,0,28737
437,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52399
438,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
439,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,1,0,0,22851
440,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33777
441,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14991
442,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,1,0,0,22851
443,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,1,0,0,0,22851
444,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,1,0,0,0,30019
445,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,0,1,52399
446,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,0,1,49787
447,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28737
448,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28737
449,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,1,0,0,49787
450,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,1,0,0,0,14991
451,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
452,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,1,0,0,0,14991
453,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,1,0,0,0,49787
454,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,1,0,0,0,28737
455,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14991
456,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,1,0,0,31077
457,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,0,1,33777
458,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
459,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,1,0,0,53927
460,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,0,1,32539
461,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
462,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
463,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
464,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,0,1,32539
465,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30019
466,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
467,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52399
468,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,1,0,0,0,48079
469,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,0,1,0,22851
470,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,1,0,0,49787
471,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,1,0,0,13911
472,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,0,1,32539
473,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
474,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
475,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24831
476,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31077
477,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,1,0,28737
478,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13911
479,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35419
480,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,1,0,0,33777
481,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
482,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,1,0,48079
483,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16431
484,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,1,0,0,0,33777
485,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13911
486,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,1,0,0,0,52399
487,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,1,0,0,21051
488,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,1,0,53927
489,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,0,1,32539
490,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31077
491,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,1,0,0,13911
492,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
493,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,0,0,1,22851
494,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,1,0,0,52399
495,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,1,0,0,0,21051
496,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28737
497,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
498,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,1,0,49787
499,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,0,1,0,22851
500,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
501,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21051
502,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,1,0,0,32539
503,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33777
504,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13911
505,3,115.9264829993114,76,0,0,0,0,0,1,1,0,0,0,0,1,0,0,13911
506,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
507,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,1,0,0,0,22851
508,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13911
509,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,1,0,0,28737
510,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,1,0,0,14991
511,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
512,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,1,0,33777
513,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,1,0,0,0,35419
514,2,175.76892590155305,125,0,0,0,1,0,0,0,0,1,0,0,0,1,0,22851
515,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,0,1,0,44479
516,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,0,1,33777
517,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,0,1,49787
518,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,1,0,32539
519,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,0,0,1,0,35419
520,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,1,0,0,0,52399
521,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,1,0,0,0,31077
522,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,53927
523,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
524,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,0,0,1,0,31077
525,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,0,0,1,0,32539
526,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33777
527,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,1,0,48079
528,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31077
529,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
530,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,1,0,0,0,48079
531,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,0,1,31077
532,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,1,0,28737
533,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,0,1,58787
534,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28737
535,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,0,0,1,0,44479
536,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58787
537,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,1,0,0,0,35419
538,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
539,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
540,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,1,0,0,0,24831
541,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,53927
542,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,1,0,0,0,28737
543,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35419
544,1,369.5257904633235,287,0,0,0,0,1,0,1,0,0,0,0,0,0,1,52399
545,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
546,1,175.76892590155305,136,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24831
547,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
548,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,0,1,0,52399
549,1,115.9264829993114,90,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16431
550,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,1,0,0,0,21051
551,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,1,0,0,58787
552,3,369.5257904633235,243,0,0,1,0,0,0,0,0,1,0,0,1,0,0,44479
553,2,238.62308745286492,170,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31077
554,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21051
555,2,369.5257904633235,263,0,0,0,0,1,0,1,0,0,0,0,0,0,1,48079
556,3,238.62308745286492,157,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28737
557,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14991
558,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13911
559,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21051
560,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
561,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,1,0,0,33777
562,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,1,0,49787
563,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30019
564,1,175.76892590155305,136,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24831
565,1,115.9264829993114,90,0,0,1,0,0,0,0,0,0,1,1,0,0,0,16431
566,3,115.9264829993114,76,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13911
567,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,0,0,0,1,21051
568,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,0,1,0,58787
569,3,249.51407691799224,164,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30019
570,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,1,0,0,0,48079
571,3,175.76892590155305,115,0,0,0,1,0,0,0,0,1,0,1,0,0,0,21051
572,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14991
573,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,1,0,0,0,32539
574,1,249.51407691799224,194,0,0,0,1,0,0,0,0,0,1,0,0,0,1,35419
575,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
576,1,369.5257904633235,287,0,0,1,0,0,0,0,0,1,0,0,1,0,0,52399
577,1,249.51407691799224,194,0,0,0,0,0,1,0,1,0,0,1,0,0,0,35419
578,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58787
579,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,1,0,0,33777
580,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,0,1,0,28737
581,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,1,0,0,22851
582,1,238.62308745286492,185,0,0,0,1,0,0,1,0,0,0,0,0,1,0,33777
583,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
584,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,0,0,1,32539
585,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,0,0,1,0,14991
586,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,0,1,49787
587,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
588,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,1,0,0,53927
589,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
590,3,175.76892590155305,115,0,0,0,0,1,0,0,1,0,0,0,1,0,0,21051
591,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,1,0,0,0,49787
592,2,369.5257904633235,263,0,0,1,0,0,0,0,0,1,0,0,0,0,1,48079
593,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,0,1,30019
594,2,175.76892590155305,125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22851
595,2,249.51407691799224,178,0,0,0,0,0,1,0,1,0,0,1,0,0,0,32539
596,1,238.62308745286492,185,0,0,1,0,0,0,0,1,0,0,0,0,0,1,33777
597,2,238.62308745286492,170,0,0,0,1,0,0,1,0,0,0,0,0,1,0,31077
598,3,413.7816180343131,272,0,0,0,0,0,1,0,0,1,0,0,0,1,0,49787
599,2,249.51407691799224,178,0,0,0,1,0,0,0,0,0,1,0,1,0,0,32539
600,3,413.7816180343131,272,0,0,0,0,1,0,0,0,0,1,0,0,0,1,49787
601,3,238.62308745286492,157,0,0,0,1,0,0,1,0,0,0,0,1,0,0,28737
602,2,115.9264829993114,82,0,0,0,0,0,1,1,0,0,0,1,0,0,0,14991
603,2,115.9264829993114,82,0,0,1,0,0,0,0,0,0,1,0,0,0,1,14991
604,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
605,3,369.5257904633235,243,0,0,0,0,1,0,1,0,0,0,1,0,0,0,44479
606,1,413.7816180343131,322,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58787
607,2,413.7816180343131,295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,53927
608,2,413.7816180343131,295,0,0,0,0,0,1,0,0,1,0,0,0,1,0,53927
609,3,249.51407691799224,164,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30019
610,1,413.7816180343131,322,0,0,0,0,1,0,0,0,0,1,0,0,0,1,58787
